SL_No,grade_no,desg_no,desg_nm,desg_type,TotalPost,YearNeedtobepromoted,PromotionFromPostSL,PreviousPostPercentise
1,1,1,MANAGING DIRECTOR,GENERAL,1,3,2,100
2,2,2,DEPUTY MANAGING DIRECTOR,GENERAL,1,1,3,100
3,2,1,GENERAL MANAGER,GENERAL,9,3,4,100
4,3,1,DEPUTY GENERAL MANAGER,GENERAL,36,3,6,100
5,3,2,SYSTEM MANAGER,IT,5,3,7,100
6,4,1,ASSISTANT GENERAL MANAGER,GENERAL,61,3,8,100
7,4,2,SENIOR SYSTEM ANALYST,IT,6,3,9,100
8,5,1,SENIOR PRINCIPAL OFFICER,GENERAL,72,5,10,100
9,5,2,SYSTEM ANALYST,IT,8,5,2 and 3,100
10,6,1,PRINCIPAL OFFICER,GENERAL,107,5,14 and 16,100
11,6,2,PROGRAMMER,IT,10,5,13,100
12,6,3,Engineer (IT),IT,2,5,15,100
13,9,2,ASSISTANT PROGRAMMER,IT,16,3,18,30
14,9,1,SENIOR OFFICER,GENERAL,176,3,17 and 19 and 20,25
15,9,3,ASSISTANT ENGINEER (IT),IT,2,0,0,0
16,9,4,Senior Officer (Eng.),GENERAL,1,0,0,0
17,10,4,LIBRARIAN,GENERAL,1,0,0,0
18,10,2,DATA ENTRY/CONTROL SUPERV,IT,3,3,27,40
19,10,1,OFFICER,GENERAL,62,0,21 and 22 and 23 and 24 and 25,67
20,10,3,Security Officer,GENERAL,1,0,0,0
21,13,1,SUPERVISOR,GENERAL,43,6,25 and 24 and 28 and 32 and 34 and 33,100
22,13,2,RECEPTIONIST,GENERAL,4,6,25 and 24 and 28 and 32 and 34 and 33,50
23,13,3,STENO-GRAPHER,GENERAL,0,,0,
24,14,3,SENIOR DESPATCHER,GENERAL,5,5,36,100
25,14,2,CARETAKER,GENERAL,3,5,37,100
26,14,1,STENO-TYPYST,GENERAL,0,,0,
27,14,4,COMPUTER OPERATOR,IT,2,7,0,0
28,16,6,DATA E./C. OPERATOR,GENERAL,55,0,0,0
29,16,5,ELECTRICIAN,GENERAL,2,0,0,0
30,16,1,D.E.OPERATOR/LDA-C-TYPIST,GENERAL,0,,0,
31,16,2,CASHIER,GENERAL,11,0,0,0
32,16,3,TEL. OPERATOR,GENERAL,2,0,0,0
33,16,7,STORE KEEPER,GENERAL,3,5,41,100
34,16,8,PHOTO COPY MACH. OPERATOR,GENERAL,6,5,41,100
35,16,4,DRIVER,GENERAL,18,0,0,0
36,17,2,DESPATCHER,GENERAL,9,3,41,100
37,17,1,ASSISTANT CARE-TAKER,GENERAL,7,3,41,100
38,18,1,PHOTO MACH. OPERATOR,GENERAL,0,0,0,0
39,20,4,SWEEPER,GENERAL,0,0,0,0
40,20,3,PLUMBER,GENERAL,1,0,0,0
41,20,2,Office Support Staff,GENERAL,82,0,0,0
42,20,1,GUARD,GENERAL,0,0,0,0
